CMDLINE uvicorn core.asgi:application --port 8000 --lifespan off --host 0.0.0.0 --workers 1
MEM 0.171875 1714491990.9756
MEM 35.937500 1714491991.0808
MEM 51.859375 1714491991.1860
MEM 51.859375 1714491991.2863
MEM 51.859375 1714491991.3916
MEM 51.875000 1714491991.4972
MEM 51.875000 1714491991.6011
MEM 51.875000 1714491991.7042
MEM 51.890625 1714491991.8087
MEM 51.890625 1714491991.9103
MEM 51.890625 1714491992.0155
MEM 51.890625 1714491992.1184
MEM 51.890625 1714491992.2235
MEM 51.890625 1714491992.3255
MEM 51.890625 1714491992.4304
MEM 52.765625 1714491992.5341
MEM 52.765625 1714491992.6382
MEM 52.765625 1714491992.7436
MEM 52.765625 1714491992.8471
MEM 52.765625 1714491992.9475
MEM 52.765625 1714491993.0499
MEM 52.765625 1714491993.1520
MEM 52.765625 1714491993.2535
MEM 52.765625 1714491993.3557
MEM 52.765625 1714491993.4564
MEM 52.765625 1714491993.5583
MEM 52.765625 1714491993.6611
MEM 52.765625 1714491993.7657
MEM 52.765625 1714491993.8707
MEM 52.765625 1714491993.9743
MEM 52.765625 1714491994.0794
MEM 52.765625 1714491994.1812
MEM 52.765625 1714491994.2856
MEM 52.765625 1714491994.3898
MEM 52.765625 1714491994.4946
MEM 52.765625 1714491994.5974
MEM 52.765625 1714491994.7017
MEM 52.765625 1714491994.8067
MEM 52.765625 1714491994.9085
MEM 52.890625 1714491995.0139
MEM 52.890625 1714491995.1184
MEM 52.890625 1714491995.2228
MEM 52.890625 1714491995.3270
MEM 52.890625 1714491995.4301
MEM 52.890625 1714491995.5398
MEM 52.890625 1714491995.6438
MEM 52.890625 1714491995.7492
MEM 52.890625 1714491995.8528
MEM 52.890625 1714491995.9572
MEM 52.890625 1714491996.0606
MEM 52.890625 1714491996.1625
MEM 52.890625 1714491996.2640
MEM 52.890625 1714491996.3683
MEM 52.890625 1714491996.4715
MEM 56.921875 1714491996.5754
MEM 57.281250 1714491996.6799
MEM 57.281250 1714491996.7855
MEM 57.281250 1714491996.8913
MEM 57.281250 1714491996.9960
MEM 57.281250 1714491997.1000
MEM 57.281250 1714491997.2055
MEM 57.281250 1714491997.3088
MEM 57.281250 1714491997.4148
MEM 57.281250 1714491997.5180
MEM 57.281250 1714491997.6227
MEM 57.281250 1714491997.7275
MEM 58.343750 1714491997.8446
MEM 69.546875 1714491997.9469
MEM 69.546875 1714491998.0513
MEM 69.546875 1714491998.1577
MEM 69.546875 1714491998.2608
MEM 69.546875 1714491998.3630
MEM 69.546875 1714491998.4688
MEM 69.546875 1714491998.5711
MEM 69.546875 1714491998.6731
MEM 69.546875 1714491998.7786
MEM 69.546875 1714491998.8794
MEM 69.546875 1714491998.9853
MEM 69.546875 1714491999.0891
MEM 69.546875 1714491999.1910
MEM 69.546875 1714491999.2966
MEM 69.546875 1714491999.4011
MEM 69.546875 1714491999.5068
MEM 69.546875 1714491999.6110
MEM 69.546875 1714491999.7176
MEM 69.546875 1714491999.8188
MEM 69.546875 1714491999.9222
MEM 69.546875 1714492000.0276
MEM 69.546875 1714492000.1332
MEM 69.546875 1714492000.2382
MEM 69.546875 1714492000.3421
MEM 69.546875 1714492000.4472
MEM 69.546875 1714492000.5522
MEM 69.546875 1714492000.6569
MEM 69.546875 1714492000.7589
MEM 69.546875 1714492000.8639
MEM 69.781250 1714492000.9671
MEM 69.781250 1714492001.0679
MEM 69.781250 1714492001.1737
MEM 69.812500 1714492001.2784
MEM 69.906250 1714492001.3834
MEM 69.906250 1714492001.4861
MEM 69.906250 1714492001.5882
MEM 69.921875 1714492001.6924
MEM 69.921875 1714492001.7968
MEM 70.000000 1714492001.8988
MEM 70.062500 1714492002.0029
MEM 70.062500 1714492002.1082
MEM 70.125000 1714492002.2093
MEM 70.187500 1714492002.3186
MEM 70.265625 1714492002.4224
MEM 70.359375 1714492002.5272
MEM 70.359375 1714492002.6325
MEM 70.359375 1714492002.7349
MEM 70.359375 1714492002.8367
MEM 70.359375 1714492002.9389
MEM 70.359375 1714492003.0442
MEM 70.359375 1714492003.1476
MEM 70.406250 1714492003.2496
MEM 76.031250 1714492003.3518
MEM 76.031250 1714492003.4563
MEM 76.031250 1714492003.5587
MEM 76.078125 1714492003.6634
MEM 80.640625 1714492003.7673
MEM 80.640625 1714492003.8731
MEM 80.796875 1714492003.9745
MEM 83.734375 1714492004.0787
MEM 83.734375 1714492004.1845
MEM 83.734375 1714492004.2895
MEM 89.265625 1714492004.3917
MEM 89.265625 1714492004.4923
MEM 89.265625 1714492004.5971
MEM 92.109375 1714492004.7027
MEM 92.109375 1714492004.8053
MEM 92.109375 1714492004.9097
MEM 93.265625 1714492005.0146
MEM 93.296875 1714492005.1201
MEM 93.296875 1714492005.2241
MEM 93.296875 1714492005.3279
MEM 93.875000 1714492005.4316
MEM 93.875000 1714492005.5367
MEM 93.875000 1714492005.6392
MEM 93.875000 1714492005.7445
MEM 95.265625 1714492005.8495
MEM 95.265625 1714492005.9543
MEM 95.265625 1714492006.0592
MEM 95.265625 1714492006.1610
MEM 95.265625 1714492006.2642
MEM 95.265625 1714492006.3675
MEM 95.265625 1714492006.4733
MEM 95.859375 1714492006.5776
MEM 95.859375 1714492006.6790
MEM 95.859375 1714492006.7859
MEM 95.859375 1714492006.8908
MEM 95.859375 1714492006.9927
MEM 95.859375 1714492007.0982
MEM 95.859375 1714492007.2015
MEM 95.859375 1714492007.3028
MEM 95.859375 1714492007.4081
